date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore,30ma
2021-02-08 04:00:00,39423.08000000,44918.00000000,39094.01000000,43716.32000000,56908.03053200,1612799999999,2439562923.34120244,1152148,31992.55027500,1368642805.07156987,0,
2021-02-08 08:00:00,43703.23000000,44280.00000000,42521.62000000,43051.95000000,19943.67128500,1612814399999,862554743.91816445,590204,9369.64212200,405137202.60416558,0,
2021-02-08 12:00:00,43049.98000000,46794.45000000,42905.29000000,46374.87000000,30039.93310600,1612828799999,1346857889.34544342,714808,15116.32841700,678430866.95921621,0,
2021-02-08 16:00:00,46374.86000000,47498.00000000,45500.00000000,46599.51000000,26874.24810600,1612843199999,1248544481.71067360,628460,13559.62295900,630027091.16719029,0,
2021-02-08 20:00:00,46599.51000000,48142.19000000,46198.76000000,47505.40000000,20161.33290500,1612857599999,951503404.70497889,476117,10722.50114900,506128913.86638691,0,
2021-02-09 00:00:00,47505.39000000,47928.23000000,45560.97000000,46380.92000000,20244.46209200,1612871999999,942679732.55113473,548802,9921.07140200,462179721.28343005,0,
2021-02-09 04:00:00,46390.95000000,47083.84000000,44961.09000000,46773.63000000,21012.57191400,1612886399999,969896869.86010254,577058,9861.25421000,455302970.90414435,0,
2021-02-09 08:00:00,46773.63000000,47433.78000000,46011.00000000,47060.18000000,15682.98794600,1612900799999,733347722.61154951,491997,7833.66757300,366363880.84477288,0,
2021-02-09 12:00:00,47060.38000000,47499.43000000,46201.37000000,46420.42000000,11524.25874900,1612915199999,540283186.57874799,396600,5531.44705400,259448458.42587901,0,
2021-02-09 16:00:00,46420.42000000,46900.00000000,45979.58000000,46221.07000000,13015.14104200,1612929599999,604134855.01305384,425757,6628.23209700,307716809.27322164,0,
2021-02-09 20:00:00,46225.71000000,46944.07000000,45589.98000000,46563.69000000,13550.96062100,1612943999999,626773593.20033126,399861,7227.93387800,334358524.19060389,0,
2021-02-10 00:00:00,46565.11000000,47310.00000000,46262.22000000,46586.56000000,14054.91888900,1612958399999,656164559.76150023,447446,7573.31262400,353610679.25470832,0,
2021-02-10 04:00:00,46586.55000000,46593.34000000,43727.00000000,44353.04000000,30243.50810700,1612972799999,1366647579.14587781,855785,13360.65111300,603851158.97626763,0,
2021-02-10 08:00:00,44354.50000000,45239.98000000,43800.00000000,45190.05000000,16317.48616800,1612987199999,730257702.95263812,437890,8210.99688000,367544060.99168306,0,
2021-02-10 12:00:00,45190.05000000,45322.09000000,44355.00000000,44807.58000000,9972.16737300,1613001599999,447671840.17770399,324853,4970.85913900,223150006.13110216,0,
2021-02-10 16:00:00,44807.58000000,45051.27000000,43994.02000000,44582.07000000,7762.67679600,1613014854773,345054272.10398644,222965,3836.13392300,170548214.06677910,0,
2021-02-10 20:00:00,44583.71000000,45129.59000000,44397.62000000,44700.01000000,7366.42492900,1613030399999,329964047.76303102,255517,3626.11042300,162446215.32139307,0,
2021-02-11 00:00:00,44700.00000000,46546.47000000,44500.00000000,46061.49000000,15019.00178000,1613044799999,684407928.68883594,444313,7739.92134500,352895030.17052774,0,
2021-02-11 04:00:00,46061.48000000,48399.00000000,46060.03000000,47960.85000000,27224.39632800,1613059199999,1294545547.72107145,675150,15079.72067500,717264856.16910188,0,
2021-02-11 08:00:00,47960.86000000,48298.00000000,46900.00000000,47754.03000000,15046.19747700,1613073599999,717092011.31105309,494564,7792.47102800,371493458.61457908,0,
2021-02-11 12:00:00,47754.02000000,48678.90000000,46542.29000000,47969.51000000,17142.38414400,1613087999999,814567126.82291705,478440,8063.97934600,383688148.34994251,0,
2021-02-11 16:00:00,47968.66000000,48985.80000000,47338.35000000,47587.31000000,15421.00745200,1613102399999,743632077.26124723,418658,8442.22889600,407340689.23942224,0,
2021-02-11 20:00:00,47587.31000000,47587.31000000,46789.00000000,47318.81000000,14527.29769900,1613116799999,685945729.56049837,382104,6481.00979200,306089154.20716312,0,
2021-02-12 00:00:00,47318.02000000,47999.00000000,47027.03000000,47562.42000000,11750.76789200,1613131199999,557310766.28879243,373514,6140.30417100,291267213.08848270,0,
2021-02-12 04:00:00,47560.06000000,48140.00000000,46125.00000000,47021.05000000,19696.60377800,1613145599999,929994253.42055963,454379,8424.72694100,398200968.35226310,0,
2021-02-12 08:00:00,47021.05000000,47980.00000000,46915.32000000,47272.95000000,14218.66940400,1613159999999,675223523.49952144,433502,7216.80738100,342786418.03471811,0,
2021-02-12 12:00:00,47272.96000000,48150.00000000,47140.26000000,47287.60000000,10255.68947200,1613174399999,488465558.93704243,356684,5135.96195400,244788476.00653560,0,
2021-02-12 16:00:00,47298.15000000,48150.00000000,47200.00000000,47829.22000000,9645.00287000,1613188799999,459527689.01398856,300139,5250.73661800,250155936.71206373,0,
2021-02-12 20:00:00,47829.21000000,47934.14000000,46990.00000000,46995.72000000,9730.90040400,1613203199999,463147193.60975173,339064,4450.32466300,211904211.01651068,0,
2021-02-13 00:00:00,46995.01000000,47569.03000000,46251.00000000,46589.20000000,16199.89783300,1613217599999,760834435.74038338,483313,7428.66686800,349018307.34060308,0,
2021-02-13 04:00:00,46586.23000000,47300.00000000,46202.53000000,47076.01000000,12688.60626300,1613231999999,595533648.08006431,363398,6133.25479500,287913626.88472762,0,
2021-02-13 08:00:00,47076.02000000,47400.14000000,46708.94000000,46870.15000000,8667.44745700,1613246399999,407336558.40145714,309810,4195.70574800,197193790.44843165,0,
2021-02-13 12:00:00,46871.95000000,47397.36000000,46653.58000000,47153.69000000,6836.24257200,1613260799999,321330622.57251452,263099,3537.62116700,166309527.59047481,0,
2021-02-13 16:00:00,47156.78000000,47730.00000000,47014.17000000,47267.21000000,10236.61092700,1613275199999,485903957.97383424,279375,5583.90128900,265008452.51690183,0,
2021-02-13 20:00:00,47267.20000000,49404.94000000,47220.42000000,48725.18000000,18793.64385400,1613289599999,912051463.32010333,414688,10878.31904900,528260503.44402575,0,
2021-02-14 00:00:00,48725.18000000,49349.76000000,48389.55000000,49055.16000000,11298.42990700,1613303999999,553205757.08467614,328659,5680.87880600,278186650.55441168,0,
2021-02-14 04:00:00,49055.17000000,49707.43000000,48101.38000000,48541.18000000,16238.03373400,1613318399999,795530069.45118291,502405,8170.44626500,400491918.13650388,0,
2021-02-14 08:00:00,48537.96000000,49100.00000000,48400.31000000,48693.39000000,9057.26902600,1613332799999,441473064.88767031,296111,4340.51166400,211615882.02031835,0,
2021-02-14 12:00:00,48693.38000000,49300.00000000,48505.79000000,48577.79000000,8111.48808500,1613347199999,396644036.11726579,268832,4098.09960800,200446514.39069914,0,
2021-02-14 16:00:00,48580.47000000,49010.92000000,45570.79000000,47120.30000000,22312.04718500,1613361599999,1054882479.93799655,643402,9739.26607200,460546876.93700093,0,
2021-02-14 20:00:00,47120.31000000,47441.02000000,46174.78000000,47267.06000000,13387.26393600,1613375999999,627290514.37198714,369881,6528.57007500,305846153.75154786,0,
2021-02-15 00:00:00,47270.50000000,47999.00000000,47112.38000000,47802.66000000,10811.10451100,1613390399999,514355110.67806213,288548,5454.75658600,259537395.20294597,0,
2021-02-15 04:00:00,47802.67000000,48219.23000000,47423.99000000,47938.83000000,11553.36169800,1613404799999,552718047.23277537,371936,5866.68409800,280689170.54410285,0,
2021-02-15 08:00:00,47938.84000000,48800.00000000,47938.83000000,48657.31000000,10563.58959100,1613419199999,512288211.72625210,300799,5219.96412200,253162396.28279609,0,
